figure	panel	order	script	relation	purpose
Extended_Data_Figure_02	02a	01	figures/Extended_Data_Figure_02/02a/01_super_enhancer_plotmap_43tissues_autodetect.R	PANEL_CODE	Run super enhancer plotmap 43tissues autodetect.
Extended_Data_Figure_02	02b	01	figures/Extended_Data_Figure_02/02b/01_all.R	PANEL_CODE	Run all.
Extended_Data_Figure_02	02c	01	figures/Extended_Data_Figure_02/02c/01_heatmap_order.R	PANEL_CODE	Run heatmap order.
Extended_Data_Figure_02	02d	01	figures/Extended_Data_Figure_02/02d/01_GO_enrichemnt.R	PANEL_CODE	Run GO enrichemnt.
Extended_Data_Figure_02	02f	01	figures/Extended_Data_Figure_02/02f/01_summary.R	PANEL_CODE	Run summary.
Extended_Data_Figure_02	02f	02	figures/Extended_Data_Figure_02/02f/02_summary.R	PANEL_CODE	Run summary.
Extended_Data_Figure_03	03a-03e	01	figures/Extended_Data_Figure_03/03a-03e/01_scan_correlation_thresholds.py	PANEL_CODE	Evaluate thresholds, q values and classification metrics.
Extended_Data_Figure_03	03a-03e	02	figures/Extended_Data_Figure_03/03a-03e/02_calculate_jaccard_support.py	PANEL_CODE	Calculate ATAC/H3K27ac link-set overlap and Jaccard support.
Extended_Data_Figure_03	03f-03j	01	figures/Extended_Data_Figure_03/03f-03j/01_plot_link_correlation_histogram.py	PANEL_CODE	Plot enhancer-gene correlation distributions.
Extended_Data_Figure_03	03f-03j	02	figures/Extended_Data_Figure_03/03f-03j/02_plot_link_summary_statistics.py	PANEL_CODE	Plot link degree, distance, correlation and q-value summaries.
Extended_Data_Figure_03	03f-03j	03	figures/Extended_Data_Figure_03/03f-03j/03_plot_distance_and_qvalue.R	PANEL_CODE	Plot distance and correlation/q-value distributions.
Extended_Data_Figure_03	03k-03n	01	figures/Extended_Data_Figure_03/03k-03n/01_define_target_gene_groups.sh	PANEL_CODE	Define target-gene connectivity groups.
Extended_Data_Figure_03	03k-03n	02	figures/Extended_Data_Figure_03/03k-03n/02_plot_group_expression_tau_conservation.R	PANEL_CODE	Compare expression, tissue specificity and conservation.
Extended_Data_Figure_03	03k-03n	03	figures/Extended_Data_Figure_03/03k-03n/03_plot_group_go_enrichment.R	PANEL_CODE	Plot GO terms for target-gene connectivity groups.
Extended_Data_Figure_04	04a	01	figures/Extended_Data_Figure_04/04a/01_extract_model_metrics.py	PANEL_CODE	Extract Spearman correlation, MSE, JSD and normalized JSD metrics.
Extended_Data_Figure_04	04a	02	figures/Extended_Data_Figure_04/04a/02_plot_model_metrics.py	PANEL_CODE	Plot the four submitted per-tissue model-performance metrics.
Extended_Data_Figure_04	04b-04c	01	figures/Extended_Data_Figure_04/04b-04c/01_prepare_external_atac_data.sh	PANEL_CODE	Prepare the external ATAC-seq validation dataset.
Extended_Data_Figure_04	04b-04c	02	figures/Extended_Data_Figure_04/04b-04c/02_predict_external_accessibility.sh	PANEL_CODE	Predict accessibility for external validation tissues.
Extended_Data_Figure_04	04b-04c	03	figures/Extended_Data_Figure_04/04b-04c/03_prepare_external_correlation_inputs.sh	PANEL_CODE	Prepare observed-versus-predicted validation inputs.
Extended_Data_Figure_04	04b-04c	04	figures/Extended_Data_Figure_04/04b-04c/04_calculate_external_correlations.R	PANEL_CODE	Calculate study and external-dataset observed-versus-predicted correlations.
Extended_Data_Figure_04	04b-04c	04	figures/Extended_Data_Figure_04/04b-04c/04_calculate_internal_correlations.R	PANEL_CODE	Calculate observed-versus-predicted accessibility correlations for the study data used in the left part of panel 4b.
