path	source_block	source_lines	source_fence_lines	heading_level	heading	language	format	status
pipelines/1.Data preprocessing/01_ATAC-Seq_data_analysis.smk	1	8-215	7-216	H2	ATAC-Seq data analysis	snakemake	native code file	requires configuration and data
pipelines/1.Data preprocessing/02_CUT_Tag_data_analysis.smk	2	221-389	220-390	H2	CUT&Tag data analysis	snakemake	native code file	requires configuration and data
pipelines/1.Data preprocessing/03_call_peak.smk	3	397-520	396-521	H2	call peak	snakemake	native code file	requires configuration and data
pipelines/1.Data preprocessing/04_SPP.sh	4	530-553	529-554	H2	SPP	bash	native code file	requires configuration and data
pipelines/1.Data preprocessing/05_FRIP.sh	5	559-603	558-604	H2	FRIP	bash	native code file	requires configuration and data
pipelines/1.Data preprocessing/06_Heatmap_Matrix_all_score_CUT_Tag_ATAC_normalization.smk	6	609-649	608-650	H2	Heatmap Matrix(all score)	snakemake	native code file	requires configuration and data
pipelines/1.Data preprocessing/07_Heatmap_Matrix_all_score_RNA-Seq_normalization.smk	7	655-736	654-737	H2	Heatmap Matrix(all score)	snakemake	native code file	requires configuration and data
pipelines/1.Data preprocessing/08_Heatmap_Matrix_all_score_summary_and_correlation.sh	8	740-821	739-822	H2	Heatmap Matrix(all score)	bash	native code file	requires configuration and data
pipelines/1.Data preprocessing/09_Signal_around_TSS.sh	9	829-853	828-854	H2	Singal around tss	bash	native code file	requires configuration and data
pipelines/1.Data preprocessing/10_PCA_for_each_assay_generate_input.sh	10	861-925	860-926	H2	PCA for each assay	bash	native code file	requires configuration and data
pipelines/1.Data preprocessing/11_PCA_for_each_assay_prepare_table.sh	11	931-953	930-954	H2	PCA for each assay	bash	native code file	requires configuration and data
pipelines/1.Data preprocessing/12_PCA_for_each_assay_plot.R	12	959-1030	958-1031	H2	PCA for each assay	R	native code file	requires configuration and data
pipelines/2.ChromImpute_ChromHMM/01_ChromImpute_ChromHMM.sh	13	1040-1414	1039-1415	H1	2.ChromImpute/ChromHMM	bash	native code file	requires configuration and data
pipelines/3.TSR/01_TSR_core_workflow.sh	14	1420-1606	1419-1607	H1	3.TSR	bash	native code file	requires configuration and data
pipelines/3.TSR/02_TSR_summary.sh	15	1612-1686	1611-1687	H2	TSR summary	bash	native code file	requires configuration and data
pipelines/3.TSR/03_TSR_link_to_target_gene.sh	16	1694-1727	1693-1728	H2	TSR link to target gene	bash	native code file	requires configuration and data
pipelines/3.TSR/04_Promoter_target_genes.sh	17	1733-1768	1732-1769	H2	Promoter	bash	native code file	requires configuration and data
pipelines/3.TSR/05_Enhancer_target_gene_summary.sh	18	1774-1811	1773-1812	H2	Enhancer	bash	native code file	requires configuration and data
pipelines/3.TSR/06_Enhancer_assign_cCRE_IDs.sh	19	1831-1879	1830-1880	H2	Enhancer	bash	native code file	requires configuration and data
pipelines/3.TSR/07_GREAT_liftover_regions.sh	20	1885-1902	1884-1903	H2	GREAT predicts functions of cis-regulatory regions.	bash	native code file	requires configuration and data
pipelines/3.TSR/08_TSR_GO_enrichment.sh	21	1908-1966	1907-1967	H2	TSR GO	bash	native code file	requires configuration and data
pipelines/3.TSR/09_Human_Phenotype_enrichment.sh	22	1972-2031	1971-2032	H2	Human Phenotype	bash	native code file	requires configuration and data
pipelines/3.TSR/10_Mouse_Phenotype_enrichment.sh	23	2037-2088	2036-2089	H2	mouse Phenotype	bash	native code file	requires configuration and data
pipelines/3.TSR/11_Mouse_Phenotype_heatmap_plot.R	24	2094-2158	2093-2159	H2	mouse Phenotype	R	native code file	requires configuration and data
pipelines/3.TSR/12_TSR_MOTIF_HOMER.sh	25	2166-2180	2165-2181	H3	Hormer	bash	native code file	requires configuration and data
pipelines/3.TSR/13_TSR_MOTIF_MEME_FIMO.sh	26	2188-2222	2187-2223	H3	Meme fimo	bash	native code file	requires configuration and data
pipelines/3.TSR/14_TSE_scores.sh	27	2228-2259	2227-2260	H2	TSE	bash	native code file	requires configuration and data
pipelines/4.Network/01_Network_construction.sh	28	2267-2330	2266-2331	H1	4.Network	bash	native code file	requires configuration and data
pipelines/4.Network/02_Network_statistics.sh	29	2334-2394	2333-2395	H1	4.Network	bash	native code file	requires configuration and data
pipelines/5.Selection signatures/01_Selection_signatures_inputs.sh	30	2402-2427	2401-2428	H1	5.Selection signatures	bash	native code file	requires configuration and data
pipelines/5.Selection signatures/02_Selection_signatures_CDS_overlap.sh	31	2433-2631	2432-2632	H1	5.Selection signatures	bash	native code file	requires configuration and data
pipelines/5.Selection signatures/03_Top_10_percent_GAT_environment.sh	32	2639-2644	2638-2645	H3	Top 10% fold enrichment	bash	native code file	requires configuration and data
pipelines/5.Selection signatures/04_Top_10_percent_fold_enrichment.sh	33	2650-2841	2649-2842	H3	Top 10% fold enrichment	bash	native code file	requires configuration and data
pipelines/5.Selection signatures/05_Top_10_percent_FST_plot.py	34	2847-3123	2846-3124	H3	Top 10% fold enrichment	python	native code file	requires configuration and data
pipelines/5.Selection signatures/06_Calculate_point_FST_neweurope_oldeurope.sh	35	3129-3163	3128-3164	H3	Calculate point FST	bash	native code file	requires configuration and data
pipelines/5.Selection signatures/07_Calculate_point_FST_eur_CEA.sh	36	3167-3183	3166-3184	H3	Calculate point FST	bash	native code file	requires configuration and data
pipelines/5.Selection signatures/08_Calculate_point_FST_merge.sh	37	3187-3193	3186-3194	H3	Calculate point FST	bash	native code file	requires configuration and data
