figure_file	figure_type	code_coverage
Figure_01	Main figure	NO_MATCH
Figure_02	Main figure	02c;02d;02e;02j-02k
Figure_03	Main figure	03a-03h
Figure_04	Main figure	04a-04c
Figure_05	Main figure	05d;05f-05l
Figure_06	Main figure	NO_MATCH
Figure_07	Main figure	07c
Figure_08	Main figure	08a-08g
Extended_Data_Figure_01	Extended Data figure	NO_MATCH
Extended_Data_Figure_02	Extended Data figure	NO_MATCH
Extended_Data_Figure_03	Extended Data figure	03a-03n
Extended_Data_Figure_04	Extended Data figure	04a-04h
Extended_Data_Figure_05	Extended Data figure	NO_EXACT_MATCH
Extended_Data_Figure_06	Extended Data figure	06a-06n
Extended_Data_Figure_07	Extended Data figure	NO_EXACT_MATCH
Extended_Data_Figure_08	Extended Data figure	NO_EXACT_MATCH
Supplementary_Figure_01	Supplementary figure	01a-01f
Supplementary_Figure_02	Supplementary figure	NO_MATCH
Supplementary_Figure_03	Supplementary figure	NO_MATCH
Supplementary_Figure_04	Supplementary figure	NO_MATCH
Supplementary_Figure_05	Supplementary figure	NO_MATCH
Supplementary_Figure_06	Supplementary figure	NO_MATCH
Supplementary_Figure_07	Supplementary figure	NO_MATCH
Supplementary_Figure_08	Supplementary figure	08d
Supplementary_Figure_09	Supplementary figure	NO_MATCH
Supplementary_Figure_10	Supplementary figure	NO_MATCH
Supplementary_Figure_11	Supplementary figure	NO_MATCH
Supplementary_Figure_12	Supplementary figure	12a
Supplementary_Figure_13	Supplementary figure	13a
Supplementary_Figure_14	Supplementary figure	NO_MATCH
Supplementary_Figure_15	Supplementary figure	NO_MATCH
Supplementary_Figure_16	Supplementary figure	16a-16c_PANEL_INPUT
Supplementary_Figure_17	Supplementary figure	NO_EXACT_MATCH
Supplementary_Figure_18	Supplementary figure	NO_EXACT_MATCH
