source_code	figure_mapping	relationship	reason	runtime_path
notebooks/Fig8_final_plotting.ipynb	Figure_08b;Figure_08d;Figure_08e;Figure_08f;Figure_08g	DIRECT_INTERFACE	Interactive calls to the confirmed canonical plotting functions.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/notebooks/Fig8_final_plotting.ipynb
src/cre_pipeline/01_reclassify_e1_e9.sh	Figure_08c;Figure_08d;Figure_08e;Figure_08f;Figure_08g	PANEL_ANALYSIS	Builds the E1-E9 CRE classes represented in Figure 8c and used by downstream Figure 8 panels.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/01_reclassify_e1_e9.sh
src/cre_pipeline/02_hg38_to_hg19.sh	Figure_08f;Figure_08g	UPSTREAM	Converts classified human CRE intervals to hg19 for the A-series LDSC analysis used by 8f and 8g.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/02_hg38_to_hg19.sh
src/cre_pipeline/03_collect_e5_hg19.sh	Figure_08f;Figure_08g	UPSTREAM	Collects E5 CRE annotations used by the LDSC analysis.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/03_collect_e5_hg19.sh
src/cre_pipeline/04_reuse_human_tsr.sh	Figure_08f;Figure_08g	UPSTREAM	Reuses verified human E5 TSR labels for LDSC annotations.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/04_reuse_human_tsr.sh
src/cre_pipeline/05_label_cre_with_tsr.sh	Figure_08f;Figure_08g	UPSTREAM	Labels human E5 CREs with TSR classes.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/05_label_cre_with_tsr.sh
src/cre_pipeline/06_reuse_sheep_projection.sh	NO_EXACT_PANEL	ANCILLARY_B2	Validates the 12-tissue-pair sheep projection reused by the B-series analysis; Figure 8a instead displays the separate approximately 43-tissue projected-EnhA analysis.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/06_reuse_sheep_projection.sh
src/cre_pipeline/07_split_ldsc_beds.sh	Figure_08f;Figure_08g;NO_EXACT_PANEL_B2	SHARED_UPSTREAM	Creates A-series human-CRE slices used by 8f and 8g and B-series 10-tissue sheep-projection slices not displayed as Figure 8a.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/07_split_ldsc_beds.sh
src/cre_pipeline/08_collect_gwas_beds.sh	Figure_08f;Figure_08g;NO_EXACT_PANEL_B2	SHARED_UPSTREAM	Collects A1/A2 and B1/B2 annotation BEDs; only the A2 branch contributes to 8f and 8g.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/08_collect_gwas_beds.sh
src/cre_pipeline/submit_stepwise_slurm.sh	Figure_08d;Figure_08e;Figure_08f;Figure_08g	WORKFLOW	Submits the complete E1-E9 CRE preparation chain.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/submit_stepwise_slurm.sh
src/gwas_ldsc/data_driven_diagnostic.py	NO_EXACT_PANEL	ANCILLARY	Diagnostic trait-selection table; no submitted panel directly displays it.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/data_driven_diagnostic.py
src/gwas_ldsc/data_driven_discovery.py	NO_EXACT_PANEL	ANCILLARY	Exploratory candidate-hit discovery; no submitted panel directly displays it.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/data_driven_discovery.py
src/gwas_ldsc/expand_to_152.py	Figure_08f;Figure_08g	UPSTREAM	Optionally rebuilds the 152-trait metadata used by the GWAS workflow.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/expand_to_152.py
src/gwas_ldsc/make_thin_annot_python_compatible.sh	NO_EXACT_PANEL	LEGACY_HELPER	Included helper without a confirmed call in the final submitted panel lineage.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/make_thin_annot_python_compatible.sh
src/gwas_ldsc/prepare_E1E9_reuse_existing_recalc.sh	Figure_08f;Figure_08g;Supplementary_Figure_16c;NO_EXACT_PANEL_A1_B1_B2	SHARED_WORKFLOW	Prepares common annotations, controls and A1/B1/A2/B2 manifests. It is shared infrastructure rather than Figure 8a-specific code.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/prepare_E1E9_reuse_existing_recalc.sh
src/gwas_ldsc/run_A1_h2_152.sh	NO_EXACT_PANEL	ANCILLARY	Marginal heritability analysis; it is not the final 8f or 8g visualization.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_A1_h2_152.sh
src/gwas_ldsc/run_A2_B2_cts_152.sh	Figure_08f;Figure_08g;Supplementary_Figure_16c;NO_EXACT_PANEL_B2	SHARED_WORKER	Runs A2 human-CRE CTS jobs used by 8f, 8g and Supplementary 16c, plus B2 10-tissue sheep-projection jobs that do not reproduce the approximately 43-tissue Figure 8a heatmap.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_A2_B2_cts_152.sh
src/gwas_ldsc/run_B1_h2_152.sh	NO_EXACT_PANEL	ANCILLARY	Marginal sheep-projection analysis; no submitted panel directly displays it.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_B1_h2_152.sh
src/gwas_ldsc/run_control_ldscore.sh	Figure_08f;Figure_08g;Supplementary_Figure_16c;NO_EXACT_PANEL_A1_B1_B2	SHARED_WORKER	Builds control LD scores shared by all A1/B1/A2/B2 LDSC branches.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_control_ldscore.sh
src/gwas_ldsc/run_control_make_annots.sh	Figure_08f;Figure_08g;Supplementary_Figure_16c;NO_EXACT_PANEL_A1_B1_B2	SHARED_WORKER	Builds control annotations shared by all A1/B1/A2/B2 LDSC branches.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_control_make_annots.sh
src/gwas_ldsc/run_ldscore_array.sh	Figure_08f;Figure_08g;Supplementary_Figure_16c;NO_EXACT_PANEL_A1_B1_B2	SHARED_WORKER	Builds LD scores shared by the A1/B1/A2/B2 analysis branches.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_ldscore_array.sh
src/gwas_ldsc/run_make_annots_array.sh	Figure_08f;Figure_08g;Supplementary_Figure_16c;NO_EXACT_PANEL_A1_B1_B2	SHARED_WORKER	Builds chromosome-level annotations shared by the A1/B1/A2/B2 analysis branches.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_make_annots_array.sh
src/gwas_ldsc/run_summaries.sh	Figure_08f;Figure_08g;Supplementary_Figure_16c;NO_EXACT_PANEL_A1_B1_B2	SHARED_WORKFLOW	Runs all A1/B1/A2/B2 summaries; the A2 outputs supply 8f, 8g and Supplementary 16c.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/run_summaries.sh
src/gwas_ldsc/stat_plot_A2_B2_all_tissues_enrichment.py	Figure_08f;Figure_08g;Supplementary_Figure_16c	PANEL_INPUT	Produces the long GWAS statistics table consumed by 8f and 8g; its own exploratory plots are not submitted panels.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/stat_plot_A2_B2_all_tissues_enrichment.py
src/gwas_ldsc/submit_E1E9_reuse_existing_152.sh	Figure_08f;Figure_08g;Supplementary_Figure_16c;NO_EXACT_PANEL_A1_B1_B2	SHARED_WORKFLOW	Implements workflow.py stage gwas_submit_slurm and submits all A1/B1/A2/B2 branches. The A2 branch supplies 8f, 8g and Supplementary 16c; the B2 branch has only 10 projected tissues and is not the approximately 43-tissue Figure 8a pipeline.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/submit_E1E9_reuse_existing_152.sh
src/gwas_ldsc/summarize_plot_A1_B1_152.py	NO_EXACT_PANEL	ANCILLARY	Creates exploratory marginal-enrichment heatmaps not present in the submitted figures.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/summarize_plot_A1_B1_152.py
src/gwas_ldsc/summarize_plot_A2_B2_152.py	Figure_08f;Figure_08g;Supplementary_Figure_16c;NO_EXACT_PANEL_B2	SHARED_SUMMARY	Summarizes A2 and B2 CTS results. A2 is filtered downstream for 8f, 8g and Supplementary 16c; its B2 heatmaps contain only 10 tissues and are not Figure 8a.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/summarize_plot_A2_B2_152.py
src/gwas_ldsc/trait_qc_152.py	NO_EXACT_PANEL	ANCILLARY	Builds a trait-QC table; no submitted panel directly displays it.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/trait_qc_152.py
src/sheep_epimap/__init__.py	Figure_08_SHARED	INFRASTRUCTURE	Python package marker.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/__init__.py
src/sheep_epimap/config.py	Figure_08_SHARED	INFRASTRUCTURE	Loads and exports the path configuration used by all Figure 8 stages.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/config.py
src/sheep_epimap/figure_inputs/__init__.py	Figure_08d;Figure_08e	INFRASTRUCTURE	Figure-input package marker.	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/sheep_epimap/figure_inputs/__init__.py
