block	source_lines	language	status	rationale
01	6-207	python	SELECTED	Shared prerequisite: split enhancers by active-tissue count.
02	213-714	python	SELECTED	Shared prerequisite: assign five sharing classes and link target genes.
03	720-1014	python	SUPERSEDED	An updated final plotting or analysis block was supplied later in the same notebook.
04	1022-2233	python	SUPERSEDED	An updated final plotting or analysis block was supplied later in the same notebook.
05	2239-3488	python	SUPERSEDED	An updated final plotting or analysis block was supplied later in the same notebook.
06	3496-5287	python	SUPERSEDED	An updated final plotting or analysis block was supplied later in the same notebook.
07	5295-6897	python	SUPERSEDED	An updated final plotting or analysis block was supplied later in the same notebook.
08	6905-8520	python	SUPERSEDED	An updated final plotting or analysis block was supplied later in the same notebook.
09	8528-10047	python	SUPERSEDED	An updated final plotting or analysis block was supplied later in the same notebook.
10	10055-11195	python	SELECTED	Supporting analysis for Figure 5i: overlap sheep SNPs with enhancer classes.
11	11208-11904	python	SUPERSEDED	An updated final plotting or analysis block was supplied later in the same notebook.
12	11911-12443	python	SUPERSEDED	An updated final plotting or analysis block was supplied later in the same notebook.
13	12451-13054	R	NO_SUBMITTED_PANEL_MATCH	The uploaded block does not map defensibly to a panel in the 34 submitted figure files.
14	13062-13345	python	SELECTED	Figure 5f final enhancer-sharing distribution plot.
15	13353-15128	python	SELECTED	Figure 5g and Extended Data Figure 6d-6f expression/conservation analyses.
16	15134-15479	python	SELECTED	Extended Data Figure 6a-6c enhancer-gene distribution plots.
17	15487-16635	python	SELECTED	Figure 5h and Extended Data Figure 6g-6h allele-specific site analyses.
18	16643-18211	python	SELECTED	Figure 5l and Extended Data Figure 6i ChromBPNet-significant AS analyses.
19	18219-19749	python	SELECTED	Extended Data Figure 6j motif-overlap analysis.
20	19759-20510	python	SELECTED	Figure 5i final SNP-density and enrichment plot.
21	20520-22889	python	SELECTED	Figure 5j-5k and Extended Data Figure 6k-6n AS/ASE effect-size plots.
