"environment"	"package"	"version"	"build"	"channel"
"abcmodel"	"_libgcc_mutex"	"0.1"	"conda_forge"	"conda-forge"
"abcmodel"	"_openmp_mutex"	"4.5"	"2_gnu"	"conda-forge"
"abcmodel"	"_r-mutex"	"1.0.1"	"anacondar_1"	"conda-forge"
"abcmodel"	"alabaster"	"0.7.13"	"pyhd8ed1ab_0"	"conda-forge"
"abcmodel"	"alsa-lib"	"1.2.14"	"hb9d3cd8_0"	"conda-forge"
"abcmodel"	"anyio"	"4.5.2"	"pypi_0"	"pypi"
"abcmodel"	"argcomplete"	"3.5.1"	"pyhd8ed1ab_0"	"conda-forge"
"abcmodel"	"argon2-cffi"	"25.1.0"	"pypi_0"	"pypi"
"abcmodel"	"argon2-cffi-bindings"	"21.2.0"	"pypi_0"	"pypi"
"abcmodel"	"argparse"	"1.4.0"	"pypi_0"	"pypi"
"abcmodel"	"arrow"	"1.4.0"	"pypi_0"	"pypi"
"abcmodel"	"asttokens"	"3.0.1"	"pypi_0"	"pypi"
"abcmodel"	"async-lru"	"2.0.4"	"pypi_0"	"pypi"
"abcmodel"	"attrs"	"25.3.0"	"pypi_0"	"pypi"
"abcmodel"	"babel"	"2.16.0"	"pyhd8ed1ab_0"	"conda-forge"
"abcmodel"	"backcall"	"0.2.0"	"pypi_0"	"pypi"
"abcmodel"	"backports-zoneinfo"	"0.2.1"	"pypi_0"	"pypi"
"abcmodel"	"beautifulsoup4"	"4.14.2"	"pypi_0"	"pypi"
"abcmodel"	"bedtools"	"2.31.1"	"h13024bc_3"	"bioconda"
"abcmodel"	"binutils_impl_linux-64"	"2.45"	"h9d8b0ac_0"	"conda-forge"
"abcmodel"	"binutils_linux-64"	"2.45"	"h4852527_0"	"conda-forge"
"abcmodel"	"bioconductor-annotationdbi"	"1.68.0"	"r44hdfd78af_0"	"bioconda"
"abcmodel"	"bioconductor-annotationhub"	"3.14.0"	"r44hdfd78af_0"	"bioconda"
"abcmodel"	"bioconductor-biobase"	"2.66.0"	"r44h3df3fcb_0"	"bioconda"
