"environment"	"package_count"	"python_version"	"r_version"
"abcmodel"	"670"	"3.8.20"	"4.4.3"
"base"	"537"	"3.13.5"	
"bpcells"	"144"		"4.4.3"
"chrombpnet"	"253"	"3.8.20"	
"chromimpute"	"165"	"3.14.6"	
"encode_wgbs"	"29"	"3.10.19"	
"footprint"	"286"	"3.12.12"	
"fp_pdf"	"151"	"3.10.19"	
"go_heatmap"	"182"	"3.14.3"	"4.5.2"
"hic"	"96"	"2.7.18"	
"idr"	"51"	"3.9.23"	
"modisco"	"224"	"3.9.23"	
"motif_analysis"	"236"	"3.14.0"	"4.3.3"
"nucleoatac"	"66"	"2.7.15"	
"phylop"	"359"	"3.10.19"	"4.3.3"
"r"	"411"	"3.14.0"	"4.4.3"
"R"	"89"		"4.5.2"
"r_heatmap_clean"	"251"	"3.14.4"	"4.3.3"
"rheatmap"	"141"		"4.4.3"
"rnaseq"	"332"	"3.9.19"	
"sheep_gwas_state"	"152"	"3.10.20"	
"sheep_syntax_cpu"	"208"	"3.10.21"	
"starrseq"	"304"	"3.11.15"	"4.5.3"
"track"	"328"	"3.14.0"	"4.4.2"
"variant_scorer"	"163"	"3.8.15"	
"washu_hub_env"	"64"	"3.10.19"	
"wgbs_env"	"245"	"3.10.19"	"4.5.2"
